model_label,model_name,model_n_layers,model_d_model,model_n_heads,model_n_params,condition,actual_person,correct_candidate_form,mean_margin,sum_margin,mean_rank,sum_rank,mean_selected_person,sum_selected_person,mean_selected_form,sum_selected_form,mean_selected_is_correct,sum_selected_is_correct,selection_agrees,correctness_agrees
turkish-gpt2,ytu-ce-cosmos/turkish-gpt2,12,768,12,124439808,ambiguous_prodrop,1p,gidiyoruz,-1.3974609375,-0.96875,5,3,2p,1s,gidiyorsunuz,gidiyorum,False,False,False,True
turkish-gpt2,ytu-ce-cosmos/turkish-gpt2,12,768,12,124439808,ambiguous_prodrop,1s,gidiyorum,-0.4287109375,0.078125,2,1,2p,1s,gidiyorsunuz,gidiyorum,False,True,False,False
turkish-gpt2,ytu-ce-cosmos/turkish-gpt2,12,768,12,124439808,ambiguous_prodrop,2p,gidiyorsunuz,0.4287109375,-2.078125,1,5,2p,1s,gidiyorsunuz,gidiyorum,True,False,False,False
turkish-gpt2,ytu-ce-cosmos/turkish-gpt2,12,768,12,124439808,ambiguous_prodrop,2s,gidiyorsun,-0.544921875,-3.16796875,4,6,2p,1s,gidiyorsunuz,gidiyorum,False,False,False,True
turkish-gpt2,ytu-ce-cosmos/turkish-gpt2,12,768,12,124439808,ambiguous_prodrop,3p,gidiyorlar,-2.4345703125,-2.005859375,6,4,2p,1s,gidiyorsunuz,gidiyorum,False,False,False,True
turkish-gpt2,ytu-ce-cosmos/turkish-gpt2,12,768,12,124439808,ambiguous_prodrop,3s,gidiyor,-0.5068359375,-0.078125,3,2,2p,1s,gidiyorsunuz,gidiyorum,False,False,False,True
turkish-gpt2,ytu-ce-cosmos/turkish-gpt2,12,768,12,124439808,possessive_person,1p,çıkıyoruz,0.8154296875,3.509765625,1,1,1p,1p,çıkıyoruz,çıkıyoruz,True,True,True,True
turkish-gpt2,ytu-ce-cosmos/turkish-gpt2,12,768,12,124439808,possessive_person,1s,çıkıyorum,2.91552734375,1.7080078125,1,1,1s,1s,çıkıyorum,çıkıyorum,True,True,True,True
turkish-gpt2,ytu-ce-cosmos/turkish-gpt2,12,768,12,124439808,possessive_person,2p,çıkıyorsunuz,0.7457275390625,-1.994873046875,1,3,2p,1p,çıkıyorsunuz,çıkıyoruz,True,False,False,False
turkish-gpt2,ytu-ce-cosmos/turkish-gpt2,12,768,12,124439808,possessive_person,2s,çıkıyorsun,-0.6748046875,-3.31640625,4,5,1s,1p,çıkıyorum,çıkıyoruz,False,False,False,True
turkish-gpt2,ytu-ce-cosmos/turkish-gpt2,12,768,12,124439808,possessive_person,3p,çıkıyorlar,-0.498291015625,-2.79296875,3,5,2p,1p,çıkıyorsunuz,çıkıyoruz,False,False,False,True
turkish-gpt2,ytu-ce-cosmos/turkish-gpt2,12,768,12,124439808,possessive_person,3s,çıkıyor,-0.9873046875,0.205078125,5,1,2p,3s,çıkıyorsunuz,çıkıyor,False,True,False,False
turkish-gpt2,ytu-ce-cosmos/turkish-gpt2,12,768,12,124439808,prior_predicate_person,1p,dinleniyoruz,0.29036458333333304,1.9140625,1,1,1p,1p,dinleniyoruz,dinleniyoruz,True,True,True,True
turkish-gpt2,ytu-ce-cosmos/turkish-gpt2,12,768,12,124439808,prior_predicate_person,1s,dinleniyorum,0.07161458333333304,2.03515625,1,1,1s,1s,dinleniyorum,dinleniyorum,True,True,True,True
turkish-gpt2,ytu-ce-cosmos/turkish-gpt2,12,768,12,124439808,prior_predicate_person,2p,dinleniyorsunuz,1.2670898437500004,-1.24951171875,1,4,2p,1p,dinleniyorsunuz,dinleniyoruz,True,False,False,False
turkish-gpt2,ytu-ce-cosmos/turkish-gpt2,12,768,12,124439808,prior_predicate_person,2s,dinleniyorsun,1.1482747395833335,-0.53955078125,1,2,2s,3s,dinleniyorsun,dinleniyor,True,False,False,False
turkish-gpt2,ytu-ce-cosmos/turkish-gpt2,12,768,12,124439808,prior_predicate_person,3p,dinleniyorlar,0.076171875,0.59375,1,1,3p,3p,dinleniyorlar,dinleniyorlar,True,True,True,True
turkish-gpt2,ytu-ce-cosmos/turkish-gpt2,12,768,12,124439808,prior_predicate_person,3s,dinleniyor,-1.125,-1.515625,5,3,2p,1s,dinleniyorsunuz,dinleniyorum,False,False,False,True
