model_label,model_name,model_n_layers,model_d_model,model_n_heads,model_n_params,pair_id,variant,actual_person,subject,prefix_text,target_form,layer,correct_candidate_form,correct_candidate_type,correct_candidate_tokens,correct_candidate_token_ids,correct_score_sum,best_wrong_score_sum,person_margin_sum,correct_form_rank_sum,best_wrong_person_sum,best_wrong_form_sum,selected_person_sum,selected_form_sum,selected_is_correct_sum,correct_score_mean,best_wrong_score_mean,person_margin_mean,correct_form_rank_mean,best_wrong_person_mean,best_wrong_form_mean,selected_person_mean,selected_form_mean,selected_is_correct_mean,condition,condition_label,cue_type
turkish-gpt2,ytu-ce-cosmos/turkish-gpt2,12,768,12,124439808,phase1_ambiguous_prodrop_1p,ambiguous_prodrop,1p,,Her gün okula ,gidiyoruz,11,gidiyoruz,A_merged,gidiyoruz,19015,-3.904296875,-2.935546875,-0.96875,3,1s,gidiyorum,1s,gidiyorum,False,-3.904296875,-2.5068359375,-1.3974609375,5,2p,gidiyorsunuz,2p,gidiyorsunuz,False,ambiguous_prodrop,Ambiguous pro-drop,none
turkish-gpt2,ytu-ce-cosmos/turkish-gpt2,12,768,12,124439808,phase1_ambiguous_prodrop_1s,ambiguous_prodrop,1s,,Her gün okula ,gidiyorum,11,gidiyorum,A_merged,gidiyorum,23301,-2.935546875,-3.013671875,0.078125,1,3s,gidiyor,1s,gidiyorum,True,-2.935546875,-2.5068359375,-0.4287109375,2,2p,gidiyorsunuz,2p,gidiyorsunuz,False,ambiguous_prodrop,Ambiguous pro-drop,none
turkish-gpt2,ytu-ce-cosmos/turkish-gpt2,12,768,12,124439808,phase1_ambiguous_prodrop_2p,ambiguous_prodrop,2p,,Her gün okula ,gidiyorsunuz,11,gidiyorsunuz,B_suffix_split,gidiyor | sunuz,6215 | 1711,-5.013671875,-2.935546875,-2.078125,5,1s,gidiyorum,1s,gidiyorum,False,-2.5068359375,-2.935546875,0.4287109375,1,1s,gidiyorum,2p,gidiyorsunuz,True,ambiguous_prodrop,Ambiguous pro-drop,none
turkish-gpt2,ytu-ce-cosmos/turkish-gpt2,12,768,12,124439808,phase1_ambiguous_prodrop_2s,ambiguous_prodrop,2s,,Her gün okula ,gidiyorsun,11,gidiyorsun,B_suffix_split,gidiyor | sun,6215 | 833,-6.103515625,-2.935546875,-3.16796875,6,1s,gidiyorum,1s,gidiyorum,False,-3.0517578125,-2.5068359375,-0.544921875,4,2p,gidiyorsunuz,2p,gidiyorsunuz,False,ambiguous_prodrop,Ambiguous pro-drop,none
turkish-gpt2,ytu-ce-cosmos/turkish-gpt2,12,768,12,124439808,phase1_ambiguous_prodrop_3p,ambiguous_prodrop,3p,,Her gün okula ,gidiyorlar,11,gidiyorlar,A_merged,gidiyorlar,41311,-4.94140625,-2.935546875,-2.005859375,4,1s,gidiyorum,1s,gidiyorum,False,-4.94140625,-2.5068359375,-2.4345703125,6,2p,gidiyorsunuz,2p,gidiyorsunuz,False,ambiguous_prodrop,Ambiguous pro-drop,none
turkish-gpt2,ytu-ce-cosmos/turkish-gpt2,12,768,12,124439808,phase1_ambiguous_prodrop_3s,ambiguous_prodrop,3s,,Her gün okula ,gidiyor,11,gidiyor,A_merged,gidiyor,6215,-3.013671875,-2.935546875,-0.078125,2,1s,gidiyorum,1s,gidiyorum,False,-3.013671875,-2.5068359375,-0.5068359375,3,2p,gidiyorsunuz,2p,gidiyorsunuz,False,ambiguous_prodrop,Ambiguous pro-drop,none
turkish-gpt2,ytu-ce-cosmos/turkish-gpt2,12,768,12,124439808,phase1_possessive_person_1p,possessive_person,1p,,Çantamız hazır. Yola ,çıkıyoruz,11,çıkıyoruz,A_merged,çıkıyoruz,31917,-2.576171875,-6.0859375,3.509765625,1,3s,çıkıyor,1p,çıkıyoruz,True,-2.576171875,-3.3916015625,0.8154296875,1,1s,çıkıyorum,1p,çıkıyoruz,True,possessive_person,Possessive person,possessive_suffix
turkish-gpt2,ytu-ce-cosmos/turkish-gpt2,12,768,12,124439808,phase1_possessive_person_1s,possessive_person,1s,,Çantam hazır. Yola ,çıkıyorum,11,çıkıyorum,C_multi_split,çık | ıyorum,573 | 1605,-3.2763671875,-4.984375,1.7080078125,1,1p,çıkıyoruz,1s,çıkıyorum,True,-1.63818359375,-4.5537109375,2.91552734375,1,2p,çıkıyorsunuz,1s,çıkıyorum,True,possessive_person,Possessive person,possessive_suffix
turkish-gpt2,ytu-ce-cosmos/turkish-gpt2,12,768,12,124439808,phase1_possessive_person_2p,possessive_person,2p,,Çantanız hazır. Yola ,çıkıyorsunuz,11,çıkıyorsunuz,B_suffix_split,çıkıyor | sunuz,4654 | 1711,-5.481201171875,-3.486328125,-1.994873046875,3,1p,çıkıyoruz,1p,çıkıyoruz,False,-2.7406005859375,-3.486328125,0.7457275390625,1,1p,çıkıyoruz,2p,çıkıyorsunuz,True,possessive_person,Possessive person,possessive_suffix
turkish-gpt2,ytu-ce-cosmos/turkish-gpt2,12,768,12,124439808,phase1_possessive_person_2s,possessive_person,2s,,Çantan hazır. Yola ,çıkıyorsun,11,çıkıyorsun,B_suffix_split,çıkıyor | sun,4654 | 833,-6.564453125,-3.248046875,-3.31640625,5,1p,çıkıyoruz,1p,çıkıyoruz,False,-3.2822265625,-2.607421875,-0.6748046875,4,1s,çıkıyorum,1s,çıkıyorum,False,possessive_person,Possessive person,possessive_suffix
