model_label,model_name,model_n_layers,model_d_model,model_n_heads,model_n_params,pair_id,variant,actual_person,subject,prefix_text,target_form,layer,correct_candidate_form,correct_candidate_type,correct_candidate_tokens,correct_candidate_token_ids,correct_score_sum,best_wrong_score_sum,person_margin_sum,correct_form_rank_sum,best_wrong_person_sum,best_wrong_form_sum,selected_person_sum,selected_form_sum,selected_is_correct_sum,correct_score_mean,best_wrong_score_mean,person_margin_mean,correct_form_rank_mean,best_wrong_person_mean,best_wrong_form_mean,selected_person_mean,selected_form_mean,selected_is_correct_mean,condition,condition_label,cue_type
turkish-gpt2,ytu-ce-cosmos/turkish-gpt2,12,768,12,124439808,phase1_ambiguous_prodrop_1p,ambiguous_prodrop,1p,,Her gün okula ,gidiyoruz,0,gidiyoruz,A_merged,gidiyoruz,19015,-644.5,-641.0,-3.5,4,3s,gidiyor,3s,gidiyor,False,-644.5,-365.03125,-279.46875,6,2p,gidiyorsunuz,2p,gidiyorsunuz,False,ambiguous_prodrop,Ambiguous pro-drop,none
turkish-gpt2,ytu-ce-cosmos/turkish-gpt2,12,768,12,124439808,phase1_ambiguous_prodrop_1p,ambiguous_prodrop,1p,,Her gün okula ,gidiyoruz,1,gidiyoruz,A_merged,gidiyoruz,19015,-489.25,-484.5,-4.75,6,3s,gidiyor,3s,gidiyor,False,-489.25,-242.658203125,-246.591796875,6,2p,gidiyorsunuz,2p,gidiyorsunuz,False,ambiguous_prodrop,Ambiguous pro-drop,none
turkish-gpt2,ytu-ce-cosmos/turkish-gpt2,12,768,12,124439808,phase1_ambiguous_prodrop_1p,ambiguous_prodrop,1p,,Her gün okula ,gidiyoruz,2,gidiyoruz,A_merged,gidiyoruz,19015,-178.875,-174.75,-4.125,5,3s,gidiyor,3s,gidiyor,False,-178.875,-87.92431640625,-90.95068359375,5,2p,gidiyorsunuz,2p,gidiyorsunuz,False,ambiguous_prodrop,Ambiguous pro-drop,none
turkish-gpt2,ytu-ce-cosmos/turkish-gpt2,12,768,12,124439808,phase1_ambiguous_prodrop_1p,ambiguous_prodrop,1p,,Her gün okula ,gidiyoruz,3,gidiyoruz,A_merged,gidiyoruz,19015,-212.5,-208.625,-3.875,5,3s,gidiyor,3s,gidiyor,False,-212.5,-105.1279296875,-107.3720703125,5,2p,gidiyorsunuz,2p,gidiyorsunuz,False,ambiguous_prodrop,Ambiguous pro-drop,none
turkish-gpt2,ytu-ce-cosmos/turkish-gpt2,12,768,12,124439808,phase1_ambiguous_prodrop_1p,ambiguous_prodrop,1p,,Her gün okula ,gidiyoruz,4,gidiyoruz,A_merged,gidiyoruz,19015,-175.375,-171.875,-3.5,5,3s,gidiyor,3s,gidiyor,False,-175.375,-86.751953125,-88.623046875,5,2p,gidiyorsunuz,2p,gidiyorsunuz,False,ambiguous_prodrop,Ambiguous pro-drop,none
turkish-gpt2,ytu-ce-cosmos/turkish-gpt2,12,768,12,124439808,phase1_ambiguous_prodrop_1p,ambiguous_prodrop,1p,,Her gün okula ,gidiyoruz,5,gidiyoruz,A_merged,gidiyoruz,19015,-8.890625,-5.3671875,-3.5234375,4,3s,gidiyor,3s,gidiyor,False,-8.890625,-4.1796875,-4.7109375,5,2p,gidiyorsunuz,2p,gidiyorsunuz,False,ambiguous_prodrop,Ambiguous pro-drop,none
turkish-gpt2,ytu-ce-cosmos/turkish-gpt2,12,768,12,124439808,phase1_ambiguous_prodrop_1p,ambiguous_prodrop,1p,,Her gün okula ,gidiyoruz,6,gidiyoruz,A_merged,gidiyoruz,19015,-9.046875,-5.72265625,-3.32421875,4,3s,gidiyor,3s,gidiyor,False,-9.046875,-3.9599609375,-5.0869140625,5,2p,gidiyorsunuz,2p,gidiyorsunuz,False,ambiguous_prodrop,Ambiguous pro-drop,none
turkish-gpt2,ytu-ce-cosmos/turkish-gpt2,12,768,12,124439808,phase1_ambiguous_prodrop_1p,ambiguous_prodrop,1p,,Her gün okula ,gidiyoruz,7,gidiyoruz,A_merged,gidiyoruz,19015,-8.4140625,-5.71484375,-2.69921875,4,3s,gidiyor,3s,gidiyor,False,-8.4140625,-3.306884765625,-5.107177734375,5,2p,gidiyorsunuz,2p,gidiyorsunuz,False,ambiguous_prodrop,Ambiguous pro-drop,none
turkish-gpt2,ytu-ce-cosmos/turkish-gpt2,12,768,12,124439808,phase1_ambiguous_prodrop_1p,ambiguous_prodrop,1p,,Her gün okula ,gidiyoruz,8,gidiyoruz,A_merged,gidiyoruz,19015,-8.296875,-4.83203125,-3.46484375,5,3s,gidiyor,3s,gidiyor,False,-8.296875,-2.97607421875,-5.32080078125,5,2p,gidiyorsunuz,2p,gidiyorsunuz,False,ambiguous_prodrop,Ambiguous pro-drop,none
turkish-gpt2,ytu-ce-cosmos/turkish-gpt2,12,768,12,124439808,phase1_ambiguous_prodrop_1p,ambiguous_prodrop,1p,,Her gün okula ,gidiyoruz,9,gidiyoruz,A_merged,gidiyoruz,19015,-6.265625,-3.275390625,-2.990234375,5,3s,gidiyor,3s,gidiyor,False,-6.265625,-2.11572265625,-4.14990234375,5,2p,gidiyorsunuz,2p,gidiyorsunuz,False,ambiguous_prodrop,Ambiguous pro-drop,none
