condition,actual_person,correct_candidate_form,mean_margin,sum_margin,mean_rank,sum_rank,mean_selected_person,sum_selected_person,mean_selected_form,sum_selected_form,mean_selected_is_correct,sum_selected_is_correct,selection_agrees,correctness_agrees
ambiguous_prodrop,1p,gidiyoruz,-1.3962452411651611,-0.9679775238037109,5,3,2p,1s,gidiyorsunuz,gidiyorum,False,False,False,True
ambiguous_prodrop,1s,gidiyorum,-0.4282677173614502,0.0807199478149414,2,1,2p,1s,gidiyorsunuz,gidiyorum,False,True,False,False
ambiguous_prodrop,2p,gidiyorsunuz,0.4282677173614502,-2.077634811401367,1,5,2p,1s,gidiyorsunuz,gidiyorum,True,False,False,False
ambiguous_prodrop,2s,gidiyorsun,-0.5462982654571533,-3.170231342315674,4,6,2p,1s,gidiyorsunuz,gidiyorum,False,False,False,True
ambiguous_prodrop,3p,gidiyorlar,-2.430710554122925,-2.0024428367614746,6,4,2p,1s,gidiyorsunuz,gidiyorum,False,False,False,True
ambiguous_prodrop,3s,gidiyor,-0.5089876651763916,-0.0807199478149414,3,2,2p,1s,gidiyorsunuz,gidiyorum,False,False,False,True
possessive_person,1p,çıkıyoruz,0.8183014392852783,3.510031223297119,1,1,1p,1p,çıkıyoruz,çıkıyoruz,True,True,True,True
possessive_person,1s,çıkıyorum,2.9143584966659546,1.7180922031402588,1,1,1s,1s,çıkıyorum,çıkıyorum,True,True,True,True
possessive_person,2p,çıkıyorsunuz,0.74594846367836,-1.9933525919914246,1,3,2p,1p,çıkıyorsunuz,çıkıyoruz,True,False,False,False
possessive_person,2s,çıkıyorsun,-0.6745153665542603,-3.3167026042938232,4,5,1s,1p,çıkıyorum,çıkıyoruz,False,False,False,True
possessive_person,3p,çıkıyorlar,-0.5052196979522705,-2.795682907104492,3,5,2p,1p,çıkıyorsunuz,çıkıyoruz,False,False,False,True
possessive_person,3s,çıkıyor,-0.987317681312561,0.20544147491455078,5,1,2p,3s,çıkıyorsunuz,çıkıyor,False,True,False,False
prior_predicate_person,1p,dinleniyoruz,0.29152774810791016,1.9135494232177734,1,1,1p,1p,dinleniyoruz,dinleniyoruz,True,True,True,True
prior_predicate_person,1s,dinleniyorum,0.07379508018493652,2.0402445793151855,1,1,1s,1s,dinleniyorum,dinleniyorum,True,True,True,True
prior_predicate_person,2p,dinleniyorsunuz,1.2678844730059309,-1.2422216534614563,1,4,2p,1p,dinleniyorsunuz,dinleniyoruz,True,False,False,False
prior_predicate_person,2s,dinleniyorsun,1.1507445573806767,-0.537446141242981,1,2,2s,3s,dinleniyorsun,dinleniyor,True,False,False,False
prior_predicate_person,3p,dinleniyorlar,0.07822155952453613,0.6007394790649414,1,1,3p,3p,dinleniyorlar,dinleniyorlar,True,True,True,True
prior_predicate_person,3s,dinleniyor,-1.1265745162963867,-1.5143089294433594,5,3,2p,1s,dinleniyorsunuz,dinleniyorum,False,False,False,True
control_mixed_token_dinlenmek,1p,dinleniyoruz,0.23138038317362497,1.7079620361328125,1,1,1p,1p,dinleniyoruz,dinleniyoruz,True,True,True,True
control_mixed_token_dinlenmek,1s,dinleniyorum,0.22847835222880075,1.697573184967041,1,1,1s,1s,dinleniyorum,dinleniyorum,True,True,True,True
control_mixed_token_dinlenmek,2p,dinleniyorsunuz,1.127454717954,-0.8677960634231567,1,2,2p,3s,dinleniyorsunuz,dinleniyor,True,False,False,False
control_mixed_token_dinlenmek,2s,dinleniyorsun,1.0676512718200684,-0.642380952835083,1,2,2s,3s,dinleniyorsun,dinleniyor,True,False,False,False
control_mixed_token_dinlenmek,3p,dinleniyorlar,-0.281108220418294,0.17269277572631836,3,1,2s,3p,dinleniyorsun,dinleniyorlar,False,True,False,False
control_mixed_token_dinlenmek,3s,dinleniyor,-0.42327670256296823,1.3917005062103271,3,1,2s,3s,dinleniyorsun,dinleniyor,False,True,False,False
control_token_matched_yapmak,1p,yapıyoruz,1.7987828254699707,1.7987828254699707,1,1,1p,1p,yapıyoruz,yapıyoruz,True,True,True,True
control_token_matched_yapmak,1s,yapıyorum,1.6920337677001953,1.6920337677001953,1,1,1s,1s,yapıyorum,yapıyorum,True,True,True,True
control_token_matched_yapmak,2p,yapıyorsunuz,-1.3255786895751953,-1.3255786895751953,4,4,1p,1p,yapıyoruz,yapıyoruz,False,False,True,True
control_token_matched_yapmak,2s,yapıyorsun,-1.4860529899597168,-1.4860529899597168,4,4,1s,1s,yapıyorum,yapıyorum,False,False,True,True
control_token_matched_yapmak,3p,yapıyorlar,-0.9534835815429688,-0.9534835815429688,4,4,1p,1p,yapıyoruz,yapıyoruz,False,False,True,True
control_token_matched_yapmak,3s,yapıyor,0.035247802734375,0.035247802734375,1,1,3s,3s,yapıyor,yapıyor,True,True,True,True
