model_label,model_name,model_n_layers,model_d_model,model_n_heads,model_n_params,pair_id,condition,condition_label,cue_type,variant,actual_person,candidate_person,is_correct,subject,prefix_text,full_text,target_form,candidate_form,candidate_text,candidate_type,candidate_n_tokens,candidate_tokens,candidate_token_ids,verb_start,verb_end,candidate_token_positions,candidate_read_positions,sentence_tokens,sentence_token_ids,notes
turkish-gpt2,ytu-ce-cosmos/turkish-gpt2,12,768,12,124439808,phase1_ambiguous_prodrop_1s,ambiguous_prodrop,Ambiguous pro-drop,none,ambiguous_prodrop,1s,1s,True,,Her gün okula ,Her gün okula gidiyorum.,gidiyorum,gidiyorum,Her gün okula gidiyorum,A_merged,1,gidiyorum,23301,3,3,3,2,Her |  gün |  okula |  gidiyorum,3024 | 543 | 9735 | 23301,No overt person cue before the target verb.
turkish-gpt2,ytu-ce-cosmos/turkish-gpt2,12,768,12,124439808,phase1_ambiguous_prodrop_1s,ambiguous_prodrop,Ambiguous pro-drop,none,ambiguous_prodrop,1s,2s,False,,Her gün okula ,Her gün okula gidiyorum.,gidiyorum,gidiyorsun,Her gün okula gidiyorsun,B_suffix_split,2,gidiyor | sun,6215 | 833,3,4,3 | 4,2 | 3,Her |  gün |  okula |  gidiyor | sun,3024 | 543 | 9735 | 6215 | 833,No overt person cue before the target verb.
turkish-gpt2,ytu-ce-cosmos/turkish-gpt2,12,768,12,124439808,phase1_ambiguous_prodrop_1s,ambiguous_prodrop,Ambiguous pro-drop,none,ambiguous_prodrop,1s,3s,False,,Her gün okula ,Her gün okula gidiyorum.,gidiyorum,gidiyor,Her gün okula gidiyor,A_merged,1,gidiyor,6215,3,3,3,2,Her |  gün |  okula |  gidiyor,3024 | 543 | 9735 | 6215,No overt person cue before the target verb.
turkish-gpt2,ytu-ce-cosmos/turkish-gpt2,12,768,12,124439808,phase1_ambiguous_prodrop_1s,ambiguous_prodrop,Ambiguous pro-drop,none,ambiguous_prodrop,1s,1p,False,,Her gün okula ,Her gün okula gidiyorum.,gidiyorum,gidiyoruz,Her gün okula gidiyoruz,A_merged,1,gidiyoruz,19015,3,3,3,2,Her |  gün |  okula |  gidiyoruz,3024 | 543 | 9735 | 19015,No overt person cue before the target verb.
turkish-gpt2,ytu-ce-cosmos/turkish-gpt2,12,768,12,124439808,phase1_ambiguous_prodrop_1s,ambiguous_prodrop,Ambiguous pro-drop,none,ambiguous_prodrop,1s,2p,False,,Her gün okula ,Her gün okula gidiyorum.,gidiyorum,gidiyorsunuz,Her gün okula gidiyorsunuz,B_suffix_split,2,gidiyor | sunuz,6215 | 1711,3,4,3 | 4,2 | 3,Her |  gün |  okula |  gidiyor | sunuz,3024 | 543 | 9735 | 6215 | 1711,No overt person cue before the target verb.
turkish-gpt2,ytu-ce-cosmos/turkish-gpt2,12,768,12,124439808,phase1_ambiguous_prodrop_1s,ambiguous_prodrop,Ambiguous pro-drop,none,ambiguous_prodrop,1s,3p,False,,Her gün okula ,Her gün okula gidiyorum.,gidiyorum,gidiyorlar,Her gün okula gidiyorlar,A_merged,1,gidiyorlar,41311,3,3,3,2,Her |  gün |  okula |  gidiyorlar,3024 | 543 | 9735 | 41311,No overt person cue before the target verb.
turkish-gpt2,ytu-ce-cosmos/turkish-gpt2,12,768,12,124439808,phase1_ambiguous_prodrop_2s,ambiguous_prodrop,Ambiguous pro-drop,none,ambiguous_prodrop,2s,1s,False,,Her gün okula ,Her gün okula gidiyorsun.,gidiyorsun,gidiyorum,Her gün okula gidiyorum,A_merged,1,gidiyorum,23301,3,3,3,2,Her |  gün |  okula |  gidiyorum,3024 | 543 | 9735 | 23301,No overt person cue before the target verb.
turkish-gpt2,ytu-ce-cosmos/turkish-gpt2,12,768,12,124439808,phase1_ambiguous_prodrop_2s,ambiguous_prodrop,Ambiguous pro-drop,none,ambiguous_prodrop,2s,2s,True,,Her gün okula ,Her gün okula gidiyorsun.,gidiyorsun,gidiyorsun,Her gün okula gidiyorsun,B_suffix_split,2,gidiyor | sun,6215 | 833,3,4,3 | 4,2 | 3,Her |  gün |  okula |  gidiyor | sun,3024 | 543 | 9735 | 6215 | 833,No overt person cue before the target verb.
turkish-gpt2,ytu-ce-cosmos/turkish-gpt2,12,768,12,124439808,phase1_ambiguous_prodrop_2s,ambiguous_prodrop,Ambiguous pro-drop,none,ambiguous_prodrop,2s,3s,False,,Her gün okula ,Her gün okula gidiyorsun.,gidiyorsun,gidiyor,Her gün okula gidiyor,A_merged,1,gidiyor,6215,3,3,3,2,Her |  gün |  okula |  gidiyor,3024 | 543 | 9735 | 6215,No overt person cue before the target verb.
turkish-gpt2,ytu-ce-cosmos/turkish-gpt2,12,768,12,124439808,phase1_ambiguous_prodrop_2s,ambiguous_prodrop,Ambiguous pro-drop,none,ambiguous_prodrop,2s,1p,False,,Her gün okula ,Her gün okula gidiyorsun.,gidiyorsun,gidiyoruz,Her gün okula gidiyoruz,A_merged,1,gidiyoruz,19015,3,3,3,2,Her |  gün |  okula |  gidiyoruz,3024 | 543 | 9735 | 19015,No overt person cue before the target verb.
