pair_id,variant,actual_person,subject,prefix_text,target_form,layer,correct_candidate_form,correct_candidate_type,correct_candidate_tokens,correct_candidate_token_ids,correct_score_sum,best_wrong_score_sum,person_margin_sum,correct_form_rank_sum,best_wrong_person_sum,best_wrong_form_sum,selected_person_sum,selected_form_sum,selected_is_correct_sum,correct_score_mean,best_wrong_score_mean,person_margin_mean,correct_form_rank_mean,best_wrong_person_mean,best_wrong_form_mean,selected_person_mean,selected_form_mean,selected_is_correct_mean,condition,condition_label,cue_type
phase1_control_mixed_token_dinlenmek_1p,control_mixed_token_dinlenmek,1p,,Çok yorulduk. Bu yüzden ,dinleniyoruz,11,dinleniyoruz,C_multi_split,dinlen | iyoruz,10316 | 1158,-9.921208381652832,-11.629170417785645,1.7079620361328125,1,3s,dinleniyor,1p,dinleniyoruz,True,-4.960604190826416,-5.191984574000041,0.23138038317362497,1,2p,dinleniyorsunuz,1p,dinleniyoruz,True,control_mixed_token_dinlenmek,Control: mixed-token dinlenmek,finite_predicate_control
phase1_control_mixed_token_dinlenmek_1s,control_mixed_token_dinlenmek,1s,,Çok yoruldum. Bu yüzden ,dinleniyorum,11,dinleniyorum,C_multi_split,dinlen | iyorum,10316 | 1066,-10.039994716644287,-11.737567901611328,1.697573184967041,1,3s,dinleniyor,1s,dinleniyorum,True,-5.0199973583221436,-5.248475710550944,0.22847835222880075,1,2p,dinleniyorsunuz,1s,dinleniyorum,True,control_mixed_token_dinlenmek,Control: mixed-token dinlenmek,finite_predicate_control
phase1_control_mixed_token_dinlenmek_2p,control_mixed_token_dinlenmek,2p,,Çok yoruldunuz. Bu yüzden ,dinleniyorsunuz,11,dinleniyorsunuz,B_suffix_split,din | leniyor | sunuz,1527 | 6567 | 1711,-11.874194264411926,-11.00639820098877,-0.8677960634231567,2,3s,dinleniyor,3s,dinleniyor,False,-3.9580647548039756,-5.085519472757976,1.127454717954,1,2s,dinleniyorsun,2p,dinleniyorsunuz,True,control_mixed_token_dinlenmek,Control: mixed-token dinlenmek,finite_predicate_control
phase1_control_mixed_token_dinlenmek_2s,control_mixed_token_dinlenmek,2s,,Çok yoruldun. Bu yüzden ,dinleniyorsun,11,dinleniyorsun,B_suffix_split,din | leniyor | sun,1527 | 6567 | 833,-10.435643434524536,-9.793262481689453,-0.642380952835083,2,3s,dinleniyor,3s,dinleniyor,False,-3.4785478115081787,-4.546199083328247,1.0676512718200684,1,2p,dinleniyorsunuz,2s,dinleniyorsun,True,control_mixed_token_dinlenmek,Control: mixed-token dinlenmek,finite_predicate_control
phase1_control_mixed_token_dinlenmek_3p,control_mixed_token_dinlenmek,3p,,Çok yoruldular. Bu yüzden ,dinleniyorlar,11,dinleniyorlar,C_multi_split,dinlen | iyorlar,10316 | 4880,-11.494413375854492,-11.66710615158081,0.17269277572631836,1,3s,dinleniyor,3p,dinleniyorlar,True,-5.747206687927246,-5.466098467508952,-0.281108220418294,3,2s,dinleniyorsun,2s,dinleniyorsun,False,control_mixed_token_dinlenmek,Control: mixed-token dinlenmek,finite_predicate_control
phase1_control_mixed_token_dinlenmek_3s,control_mixed_token_dinlenmek,3s,,Çok yoruldu. Bu yüzden ,dinleniyor,11,dinleniyor,C_multi_split,din | leniyor,1527 | 6567,-10.950991868972778,-12.342692375183105,1.3917005062103271,1,1s,dinleniyorum,3s,dinleniyor,True,-5.475495934486389,-5.052219231923421,-0.42327670256296823,3,2s,dinleniyorsun,2s,dinleniyorsun,False,control_mixed_token_dinlenmek,Control: mixed-token dinlenmek,finite_predicate_control
phase1_control_token_matched_yapmak_1p,control_token_matched_yapmak,1p,,Çok acıktık. Bu yüzden kahvaltı ,yapıyoruz,11,yapıyoruz,A_merged,yapıyoruz,6983,-5.858535289764404,-7.657318115234375,1.7987828254699707,1,3s,yapıyor,1p,yapıyoruz,True,-5.858535289764404,-7.657318115234375,1.7987828254699707,1,3s,yapıyor,1p,yapıyoruz,True,control_token_matched_yapmak,Control: token-matched yapmak,finite_predicate_control
phase1_control_token_matched_yapmak_1s,control_token_matched_yapmak,1s,,Çok acıktım. Bu yüzden kahvaltı ,yapıyorum,11,yapıyorum,A_merged,yapıyorum,12367,-5.770602226257324,-7.4626359939575195,1.6920337677001953,1,3s,yapıyor,1s,yapıyorum,True,-5.770602226257324,-7.4626359939575195,1.6920337677001953,1,3s,yapıyor,1s,yapıyorum,True,control_token_matched_yapmak,Control: token-matched yapmak,finite_predicate_control
phase1_control_token_matched_yapmak_2p,control_token_matched_yapmak,2p,,Çok acıktınız. Bu yüzden kahvaltı ,yapıyorsunuz,11,yapıyorsunuz,A_merged,yapıyorsunuz,20675,-7.833043098449707,-6.507464408874512,-1.3255786895751953,4,1p,yapıyoruz,1p,yapıyoruz,False,-7.833043098449707,-6.507464408874512,-1.3255786895751953,4,1p,yapıyoruz,1p,yapıyoruz,False,control_token_matched_yapmak,Control: token-matched yapmak,finite_predicate_control
phase1_control_token_matched_yapmak_2s,control_token_matched_yapmak,2s,,Çok acıktın. Bu yüzden kahvaltı ,yapıyorsun,11,yapıyorsun,A_merged,yapıyorsun,32308,-7.580652236938477,-6.09459924697876,-1.4860529899597168,4,1s,yapıyorum,1s,yapıyorum,False,-7.580652236938477,-6.09459924697876,-1.4860529899597168,4,1s,yapıyorum,1s,yapıyorum,False,control_token_matched_yapmak,Control: token-matched yapmak,finite_predicate_control
